Dataset,Modelo,MSE,RMSE,MAE,MAPE,R2
Treinamento,Random Forest,460845744.51875687,21467.318056030123,11437.647658380714,0.1667747247402616,0.6713254460145188
Treinamento,Baseline,1386169819.5312493,37231.301609415284,22369.527077109782,0.2496580469073565,0.0
Teste,Random Forest,477561311.4945348,21853.17623354863,11546.438839838189,0.06407240753531536,0.654403453347058
Teste,Baseline,1640722869.0571697,40505.8374689028,27350.525878666926,0.13251189234829436,-0.020243511945413406
